Departamento,Año,Mes,Consumo (m³),Temperatura promedio mensual (°C),Número de ocupantes,Superficie (m²),Piso,Estado de mantenimiento,Costo (BOB)
A01,2014,1,31.45,3.57,3,54,0,Bueno,18.87
A01,2014,2,37.55,-1.41,3,54,0,Bueno,22.53
A01,2014,3,28.9,14.09,3,54,0,Bueno,17.34
A01,2014,4,34.91,-3.89,3,54,0,Bueno,20.94
A01,2014,5,34.44,3.14,3,54,0,Bueno,20.66
A01,2014,6,29.37,14.64,3,54,0,Bueno,17.62
A01,2014,7,25.14,19.55,3,54,0,Bueno,15.09
A01,2014,8,28.71,10.72,3,54,0,Bueno,17.22
A01,2014,9,24.24,25.43,3,54,0,Bueno,14.54
A01,2014,10,34.64,0.59,3,54,0,Bueno,20.78
A01,2014,11,31.33,4.73,3,54,0,Bueno,18.8
A01,2014,12,22.15,21.72,3,54,0,Bueno,13.29
A01,2015,1,30.41,8.3,3,54,0,Bueno,18.24
A01,2015,2,30.47,7.04,3,54,0,Bueno,18.28
A01,2015,3,36.9,-3.48,3,54,0,Bueno,22.14
A01,2015,4,38.25,-0.63,3,54,0,Bueno,22.95
A01,2015,5,35.28,-2.24,3,54,0,Bueno,21.17
A01,2015,6,29.21,17.0,3,54,0,Bueno,17.53
A01,2015,7,29.73,7.66,3,54,0,Bueno,17.84
A01,2015,8,37.65,-2.57,3,54,0,Bueno,22.59
A01,2015,9,27.28,22.06,3,54,0,Bueno,16.37
A01,2015,10,25.13,24.94,3,54,0,Bueno,15.08
A01,2015,11,30.97,8.3,3,54,0,Bueno,18.58
A01,2015,12,21.28,24.19,3,54,0,Bueno,12.77
A01,2016,1,32.7,7.43,3,54,0,Bueno,19.62
A01,2016,2,26.72,19.56,3,54,0,Bueno,16.03
A01,2016,3,37.46,-2.5,3,54,0,Bueno,22.48
A01,2016,4,27.02,13.69,3,54,0,Bueno,16.21
A01,2016,5,28.43,11.18,3,54,0,Bueno,17.06
A01,2016,6,22.83,27.39,3,54,0,Bueno,13.7
A01,2016,7,33.0,2.69,3,54,0,Bueno,19.8
A01,2016,8,21.79,21.89,3,54,0,Bueno,13.07
A01,2016,9,25.35,23.76,3,54,0,Bueno,15.21
A01,2016,10,28.28,9.04,3,54,0,Bueno,16.97
A01,2016,11,22.32,26.96,3,54,0,Bueno,13.39
A01,2016,12,23.61,20.13,3,54,0,Bueno,14.17
A01,2017,1,31.47,12.47,3,54,0,Bueno,18.88
A01,2017,2,24.51,17.5,3,54,0,Bueno,14.7
A01,2017,3,36.93,-0.11,3,54,0,Bueno,22.16
A01,2017,4,29.95,13.86,3,54,0,Bueno,17.97
A01,2017,5,30.9,10.0,3,54,0,Bueno,18.54
A01,2017,6,34.55,7.67,3,54,0,Bueno,20.73
A01,2017,7,35.44,-0.16,3,54,0,Bueno,21.26
A01,2017,8,26.84,21.45,3,54,0,Bueno,16.1
A01,2017,9,33.19,0.35,3,54,0,Bueno,19.91
A01,2017,10,26.57,18.82,3,54,0,Bueno,15.94
A01,2017,11,31.74,8.47,3,54,0,Bueno,19.05
A01,2017,12,28.22,11.38,3,54,0,Bueno,16.93
A01,2018,1,30.87,14.36,3,54,0,Bueno,18.52
A01,2018,2,23.68,18.81,3,54,0,Bueno,14.21
A01,2018,3,23.92,25.97,3,54,0,Bueno,14.35
A01,2018,4,23.49,21.9,3,54,0,Bueno,14.09
A01,2018,5,30.71,5.27,3,54,0,Bueno,18.43
A01,2018,6,39.18,-4.89,3,54,0,Bueno,23.51
A01,2018,7,28.14,20.19,3,54,0,Bueno,16.88
A01,2018,8,24.61,21.67,3,54,0,Bueno,14.77
A01,2018,9,36.79,-1.28,3,54,0,Bueno,22.07
A01,2018,10,23.22,24.46,3,54,0,Bueno,13.93
A01,2018,11,33.66,1.96,3,54,0,Bueno,20.2
A01,2018,12,37.79,0.65,3,54,0,Bueno,22.68
A01,2019,1,24.27,27.29,3,54,0,Bueno,14.56
A01,2019,2,27.35,15.96,3,54,0,Bueno,16.41
A01,2019,3,35.12,-1.08,3,54,0,Bueno,21.07
A01,2019,4,22.5,29.49,3,54,0,Bueno,13.5
A01,2019,5,32.15,3.38,3,54,0,Bueno,19.29
A01,2019,6,25.44,14.86,3,54,0,Bueno,15.27
A01,2019,7,26.99,20.62,3,54,0,Bueno,16.19
A01,2019,8,20.98,29.23,3,54,0,Bueno,12.59
A01,2019,9,36.66,-0.6,3,54,0,Bueno,21.99
A01,2019,10,19.32,28.14,3,54,0,Bueno,11.59
A01,2019,11,29.31,13.47,3,54,0,Bueno,17.58
A01,2019,12,23.6,28.75,3,54,0,Bueno,14.16
A01,2020,1,25.82,21.43,3,54,0,Bueno,15.49
A01,2020,2,24.82,19.95,3,54,0,Bueno,14.89
A01,2020,3,25.39,18.51,3,54,0,Bueno,15.23
A01,2020,4,21.87,26.49,3,54,0,Bueno,13.12
A01,2020,5,30.95,3.68,3,54,0,Bueno,18.57
A01,2020,6,37.86,-4.26,3,54,0,Bueno,22.71
A01,2020,7,24.65,15.6,3,54,0,Bueno,14.79
A01,2020,8,22.87,19.77,3,54,0,Bueno,13.72
A01,2020,9,33.91,-2.64,3,54,0,Bueno,20.35
A01,2020,10,32.2,6.56,3,54,0,Bueno,19.32
A01,2020,11,32.94,4.75,3,54,0,Bueno,19.76
A01,2020,12,29.8,13.87,3,54,0,Bueno,17.88
A01,2021,1,22.92,25.88,3,54,0,Bueno,13.75
A01,2021,2,33.49,3.5,3,54,0,Bueno,20.09
A01,2021,3,28.34,9.25,3,54,0,Bueno,17.01
A01,2021,4,25.49,18.06,3,54,0,Bueno,15.3
A01,2021,5,32.89,9.39,3,54,0,Bueno,19.73
A01,2021,6,37.87,-3.1,3,54,0,Bueno,22.72
A01,2021,7,23.96,17.62,3,54,0,Bueno,14.37
A01,2021,8,26.96,20.49,3,54,0,Bueno,16.18
A01,2021,9,34.14,-1.18,3,54,0,Bueno,20.48
A01,2021,10,26.36,13.77,3,54,0,Bueno,15.81
A01,2021,11,34.46,1.42,3,54,0,Bueno,20.68
A01,2021,12,20.05,25.61,3,54,0,Bueno,12.03
A01,2022,1,25.9,23.28,3,54,0,Bueno,15.54
A01,2022,2,37.1,-1.57,3,54,0,Bueno,22.26
A01,2022,3,25.53,13.92,3,54,0,Bueno,15.32
A01,2022,4,37.79,-1.74,3,54,0,Bueno,22.67
A01,2022,5,33.2,3.27,3,54,0,Bueno,19.92
A01,2022,6,31.66,11.85,3,54,0,Bueno,19.0
A01,2022,7,20.1,26.59,3,54,0,Bueno,12.06
A01,2022,8,37.2,-4.92,3,54,0,Bueno,22.32
A01,2022,9,23.4,27.43,3,54,0,Bueno,14.04
A01,2022,10,34.09,4.98,3,54,0,Bueno,20.45
A01,2022,11,26.82,20.57,3,54,0,Bueno,16.09
A01,2022,12,26.24,18.17,3,54,0,Bueno,15.74
A01,2023,1,32.88,1.65,3,54,0,Bueno,19.73
A01,2023,2,38.29,-2.95,3,54,0,Bueno,22.97
A01,2023,3,35.71,-2.87,3,54,0,Bueno,21.43
A01,2023,4,36.88,-3.25,3,54,0,Bueno,22.13
A01,2023,5,22.0,27.18,3,54,0,Bueno,13.2
A01,2023,6,36.95,-3.01,3,54,0,Bueno,22.17
A01,2023,7,20.41,24.8,3,54,0,Bueno,12.25
A01,2023,8,38.88,-2.62,3,54,0,Bueno,23.33
A01,2023,9,33.48,9.13,3,54,0,Bueno,20.09
A01,2023,10,28.4,14.94,3,54,0,Bueno,17.04
